wavelength,intensity
400,0.28897961538495853
410,0.18377236813345144
420,0.10131084786734497
430,-0.019880562131518398
440,0.05666734576581767
450,0.09661192299378243
460,0.07712620388575901
470,-0.12462928868750167
480,0.04874062523789933
490,0.04523197983623634
500,0.05078028703246604
510,0.01743961074846012
520,0.12994135336444906
530,0.2341724137209397
540,0.2952665873634279
550,0.32431390259890047
560,0.4938417172058923
570,0.5611851615338691
580,0.5305799204568385
590,0.6945335788412026
600,0.7257179280294517
610,0.7913507794505672
620,0.9815221109681107
630,1.0732305482094404
640,1.1256552448213804
650,1.3186847843608533
660,1.285341740350087
670,1.4104017534568887
680,1.5735630334698554
690,1.6323044813302376
700,1.6912284700808584
